v2	Ix(U1:DRAIN)	Ix(U5:VDD)	Ix(U6:VDD)	Ix(U7:VDD)	Ix(U8:VDD)	Ix(U9:VDD)
0.000000000000000e+000	7.786239e-012	-7.850521e-012	-7.786240e-012	-7.887771e-012	-7.981970e-012	-8.325628e-012
1.000000000000000e-002	7.800586e-012	-7.874748e-012	-7.800585e-012	-7.922711e-012	-8.048283e-012	-8.496373e-012
2.000000000000000e-002	7.815745e-012	-7.901056e-012	-7.815734e-012	-7.962641e-012	-8.128940e-012	-8.710917e-012
3.000000000000000e-002	7.831740e-012	-7.929719e-012	-7.831731e-012	-8.008622e-012	-8.227544e-012	-8.980811e-012
4.000000000000000e-002	7.848644e-012	-7.961093e-012	-7.848634e-012	-8.062004e-012	-8.348701e-012	-9.320743e-012
5.000000000000000e-002	7.866547e-012	-7.995646e-012	-7.866541e-012	-8.124519e-012	-8.498233e-012	-9.749394e-012
6.000000000000001e-002	7.885572e-012	-8.033977e-012	-7.885567e-012	-8.198389e-012	-8.683558e-012	-1.029054e-011
7.000000000000001e-002	7.905883e-012	-8.076874e-012	-7.905878e-012	-8.286450e-012	-8.914070e-012	-1.097446e-011
8.000000000000000e-002	7.927698e-012	-8.125356e-012	-7.927695e-012	-8.392309e-012	-9.201714e-012	-1.183978e-011
9.000000000000000e-002	7.951299e-012	-8.180720e-012	-7.951298e-012	-8.520559e-012	-9.561654e-012	-1.293580e-011
9.999999999999999e-002	7.977056e-012	-8.244632e-012	-7.977061e-012	-8.677040e-012	-1.001316e-011	-1.432548e-011
1.100000000000000e-001	8.005442e-012	-8.319219e-012	-8.005450e-012	-8.869152e-012	-1.058074e-011	-1.608934e-011
1.200000000000000e-001	8.037066e-012	-8.407205e-012	-8.037081e-012	-9.106324e-012	-1.129557e-011	-1.833040e-011
1.300000000000000e-001	8.072707e-012	-8.512030e-012	-8.072729e-012	-9.400473e-012	-1.219735e-011	-2.118060e-011
1.400000000000000e-001	8.113357e-012	-8.638089e-012	-8.113387e-012	-9.766742e-012	-1.333665e-011	-2.480905e-011
1.500000000000000e-001	8.160279e-012	-8.790959e-012	-8.160316e-012	-1.022434e-011	-1.477798e-011	-2.943270e-011
1.600000000000000e-001	8.215074e-012	-8.977702e-012	-8.215120e-012	-1.079767e-011	-1.660363e-011	-3.533003e-011
1.700000000000000e-001	8.279771e-012	-9.207263e-012	-8.279827e-012	-1.151768e-011	-1.891870e-011	-4.285887e-011
1.800000000000000e-001	8.356938e-012	-9.490993e-012	-8.357007e-012	-1.242371e-011	-2.185751e-011	-5.247928e-011
1.900000000000000e-001	8.449822e-012	-9.843242e-012	-8.449905e-012	-1.356581e-011	-2.559184e-011	-6.478327e-011
2.000000000000000e-001	8.562516e-012	-1.028220e-011	-8.562617e-012	-1.500760e-011	-3.034158e-011	-8.053316e-011
2.100000000000001e-001	8.700186e-012	-1.083087e-011	-8.700299e-012	-1.683013e-011	-3.638837e-011	-1.007113e-010
2.200000000000001e-001	8.869338e-012	-1.151845e-011	-8.869469e-012	-1.913665e-011	-4.409320e-011	-1.265845e-010
2.300000000000001e-001	9.078175e-012	-1.238193e-011	-9.078328e-012	-2.205881e-011	-5.391912e-011	-1.597876e-010
2.400000000000001e-001	9.337024e-012	-1.346820e-011	-9.337194e-012	-2.576458e-011	-6.646049e-011	-2.024317e-010
2.500000000000001e-001	9.658899e-012	-1.483683e-011	-9.659089e-012	-3.046844e-011	-8.248076e-011	-2.572449e-010
2.600000000000001e-001	1.006020e-011	-1.656344e-011	-1.006041e-011	-3.644443e-011	-1.029612e-010	-3.277549e-010
2.700000000000001e-001	1.056159e-011	-1.874417e-011	-1.056183e-011	-4.404293e-011	-1.291639e-010	-4.185262e-010
2.800000000000001e-001	1.118917e-011	-2.150128e-011	-1.118943e-011	-5.371222e-011	-1.627131e-010	-5.354689e-010
2.900000000000001e-001	1.197586e-011	-2.499043e-011	-1.197615e-011	-6.602620e-011	-2.057008e-010	-6.862399e-010
3.000000000000001e-001	1.296326e-011	-2.940980e-011	-1.296357e-011	-8.172008e-011	-2.608225e-010	-8.807647e-010
3.100000000000001e-001	1.420395e-011	-3.501203e-011	-1.420429e-011	-1.017363e-010	-3.315539e-010	-1.131918e-009
3.200000000000001e-001	1.576448e-011	-4.211926e-011	-1.576484e-011	-1.272835e-010	-4.223793e-010	-1.456407e-009
3.300000000000001e-001	1.772906e-011	-5.114256e-011	-1.772944e-011	-1.599131e-010	-5.390873e-010	-1.875929e-009
3.400000000000001e-001	2.020439e-011	-6.260679e-011	-2.020479e-011	-2.016170e-010	-6.891547e-010	-2.418666e-009
3.500000000000001e-001	2.332569e-011	-7.718247e-011	-2.332611e-011	-2.549548e-010	-8.822442e-010	-3.121251e-009
3.600000000000002e-001	2.726449e-011	-9.572668e-011	-2.726492e-011	-3.232165e-010	-1.130849e-009	-4.031312e-009
3.700000000000002e-001	3.223844e-011	-1.193356e-010	-3.223888e-011	-4.106341e-010	-1.451130e-009	-5.210800e-009
3.800000000000002e-001	3.852391e-011	-1.494118e-010	-3.852436e-011	-5.226535e-010	-1.864004e-009	-6.740311e-009
3.900000000000002e-001	4.647199e-011	-1.877511e-010	-4.647245e-011	-6.662860e-010	-2.396551e-009	-8.724724e-009
4.000000000000002e-001	5.652893e-011	-2.366535e-010	-5.652939e-011	-8.505624e-010	-3.083844e-009	-1.130052e-008
4.100000000000002e-001	6.926217e-011	-2.990663e-010	-6.926264e-011	-1.087120e-009	-3.971325e-009	-1.464529e-008
4.200000000000002e-001	8.539362e-011	-3.787677e-010	-8.539408e-011	-1.390959e-009	-5.117880e-009	-1.899004e-008
4.300000000000002e-001	1.058420e-010	-4.806031e-010	-1.058424e-010	-1.781422e-009	-6.599830e-009	-2.463513e-008
4.400000000000002e-001	1.317769e-010	-6.107879e-010	-1.317773e-010	-2.283458e-009	-8.516089e-009	-3.197073e-008
4.500000000000002e-001	1.646877e-010	-7.772976e-010	-1.646881e-010	-2.929248e-009	-1.099484e-008	-4.150307e-008
4.600000000000002e-001	2.064717e-010	-9.903671e-010	-2.064718e-010	-3.760311e-009	-1.420216e-008	-5.388779e-008
4.700000000000003e-001	2.595453e-010	-1.263132e-009	-2.595452e-010	-4.830205e-009	-1.835304e-008	-6.997197e-008
4.800000000000003e-001	3.269870e-010	-1.612452e-009	-3.269865e-010	-6.208004e-009	-2.372564e-008	-9.084652e-008
4.900000000000003e-001	4.127173e-010	-2.059955e-009	-4.127163e-010	-7.982756e-009	-3.067931e-008	-1.179103e-007
5.000000000000002e-001	5.217281e-010	-2.633384e-009	-5.217259e-010	-1.026917e-008	-3.967752e-008	-1.529470e-007
5.100000000000002e-001	6.603709e-010	-3.368293e-009	-6.603670e-010	-1.321489e-008	-5.131655e-008	-1.982147e-007
5.200000000000002e-001	8.367206e-010	-4.310208e-009	-8.367139e-010	-1.700962e-008	-6.636112e-008	-2.565456e-007
5.300000000000003e-001	1.061030e-009	-5.517339e-009	-1.061019e-009	-2.189669e-008	-8.578775e-008	-3.314519e-007
5.400000000000003e-001	1.346297e-009	-7.063982e-009	-1.346278e-009	-2.818737e-008	-1.108365e-007	-4.272274e-007
5.500000000000003e-001	1.708957e-009	-9.044718e-009	-1.708927e-009	-3.627844e-008	-1.430711e-007	-5.490322e-007
5.600000000000003e-001	2.169740e-009	-1.157958e-008	-2.169691e-009	-4.667349e-008	-1.844451e-007	-7.029433e-007
5.700000000000003e-001	2.754687e-009	-1.482028e-008	-2.754609e-009	-6.000796e-008	-2.373712e-007	-8.959516e-007
5.800000000000003e-001	3.496364e-009	-1.895757e-008	-3.496241e-009	-7.707794e-008	-3.047867e-007	-1.135890e-006
5.900000000000003e-001	4.435263e-009	-2.422980e-008	-4.435072e-009	-9.887172e-008	-3.902047e-007	-1.431285e-006
6.000000000000003e-001	5.621382e-009	-3.093250e-008	-5.621090e-009	-1.266026e-007	-4.977374e-007	-1.791137e-006
6.100000000000003e-001	7.115963e-009	-3.942871e-008	-7.115522e-009	-1.617400e-007	-6.320773e-007	-2.224652e-006
6.200000000000003e-001	8.993314e-009	-5.015967e-008	-8.992664e-009	-2.060346e-007	-7.984212e-007	-2.740943e-006
6.300000000000003e-001	1.134266e-008	-6.365506e-008	-1.134172e-008	-2.615323e-007	-1.002332e-006	-3.348747e-006
6.400000000000004e-001	1.426994e-008	-8.054203e-008	-1.426862e-008	-3.305713e-007	-1.249543e-006	-4.056183e-006
6.500000000000004e-001	1.789941e-008	-1.015520e-007	-1.789762e-008	-4.157566e-007	-1.545724e-006	-4.870553e-006
6.600000000000004e-001	2.237511e-008	-1.275242e-007	-2.237273e-008	-5.199091e-007	-1.896237e-006	-5.798217e-006
6.700000000000004e-001	2.786198e-008	-1.594054e-007	-2.785892e-008	-6.459904e-007	-2.305931e-006	-6.844523e-006
6.800000000000004e-001	3.454675e-008	-1.982450e-007	-3.454296e-008	-7.970073e-007	-2.778985e-006	-8.013792e-006
6.900000000000004e-001	4.263861e-008	-2.451849e-007	-4.263406e-008	-9.759057e-007	-3.318829e-006	-9.309346e-006
7.000000000000004e-001	5.236939e-008	-3.014439e-007	-5.236412e-008	-1.185465e-006	-3.928140e-006	-1.073356e-005
7.100000000000004e-001	6.399368e-008	-3.682979e-007	-6.398776e-008	-1.428207e-006	-4.608880e-006	-1.228797e-005
7.200000000000004e-001	7.778831e-008	-4.470542e-007	-7.778190e-008	-1.706322e-006	-5.362385e-006	-1.397334e-005
7.300000000000004e-001	9.405162e-008	-5.390233e-007	-9.404491e-008	-2.021627e-006	-6.189454e-006	-1.578979e-005
7.400000000000004e-001	1.131024e-007	-6.454895e-007	-1.130956e-007	-2.375558e-006	-7.090448e-006	-1.773695e-005
7.500000000000004e-001	1.352781e-007	-7.676815e-007	-1.352715e-007	-2.769174e-006	-8.065379e-006	-1.981399e-005
7.600000000000005e-001	1.609337e-007	-9.067458e-007	-1.609275e-007	-3.203201e-006	-9.113985e-006	-2.201981e-005
7.700000000000005e-001	1.904387e-007	-1.063726e-006	-1.904331e-007	-3.678074e-006	-1.023581e-005	-2.435313e-005
7.800000000000005e-001	2.241754e-007	-1.239545e-006	-2.241705e-007	-4.193988e-006	-1.143023e-005	-2.681251e-005
7.900000000000005e-001	2.625357e-007	-1.434996e-006	-2.625316e-007	-4.750956e-006	-1.269654e-005	-2.939649e-005
8.000000000000005e-001	3.059181e-007	-1.650740e-006	-3.059147e-007	-5.348842e-006	-1.403394e-005	-3.210362e-005
8.100000000000005e-001	3.547245e-007	-1.887303e-006	-3.547216e-007	-5.987412e-006	-1.544163e-005	-3.493248e-005
8.200000000000005e-001	4.093565e-007	-2.145089e-006	-4.093541e-007	-6.666354e-006	-1.691876e-005	-3.788168e-005
8.300000000000005e-001	4.702125e-007	-2.424384e-006	-4.702102e-007	-7.385308e-006	-1.846448e-005	-4.094990e-005
8.400000000000005e-001	5.376839e-007	-2.725371e-006	-5.376814e-007	-8.143880e-006	-2.007797e-005	-4.413588e-005
8.500000000000005e-001	6.121522e-007	-3.048146e-006	-6.121493e-007	-8.941655e-006	-2.175843e-005	-4.743839e-005
8.600000000000005e-001	6.939862e-007	-3.392729e-006	-6.939826e-007	-9.778210e-006	-2.350506e-005	-5.085621e-005
8.700000000000006e-001	7.835396e-007	-3.759079e-006	-7.835350e-007	-1.065311e-005	-2.531712e-005	-5.438818e-005
8.800000000000006e-001	8.811490e-007	-4.147108e-006	-8.811430e-007	-1.156593e-005	-2.719390e-005	-5.803309e-005
8.900000000000006e-001	9.871318e-007	-4.556686e-006	-9.871238e-007	-1.251623e-005	-2.913472e-005	-6.178977e-005
9.000000000000006e-001	1.101785e-006	-4.987661e-006	-1.101775e-006	-1.350359e-005	-3.113893e-005	-6.565700e-005
9.100000000000006e-001	1.225385e-006	-5.439854e-006	-1.225372e-006	-1.452759e-005	-3.320592e-005	-6.963356e-005
9.200000000000006e-001	1.358185e-006	-5.913078e-006	-1.358169e-006	-1.558781e-005	-3.533509e-005	-7.371818e-005
