v2	Ix(U1:DRAIN)	Ix(U5:VDD)	Ix(U6:VDD)	Ix(U7:VDD)	Ix(U8:VDD)	Ix(U9:VDD)
0.000000000000000e+000	7.696864e-012	-7.710761e-012	-7.696867e-012	-7.715356e-012	-7.722765e-012	-7.751556e-012
1.000000000000000e-002	7.705421e-012	-7.722423e-012	-7.705421e-012	-7.728749e-012	-7.739482e-012	-7.778743e-012
2.000000000000000e-002	7.714800e-012	-7.735420e-012	-7.714798e-012	-7.744036e-012	-7.759370e-012	-7.812541e-012
3.000000000000000e-002	7.725024e-012	-7.749829e-012	-7.725022e-012	-7.761462e-012	-7.783078e-012	-7.854615e-012
4.000000000000000e-002	7.736121e-012	-7.765768e-012	-7.736112e-012	-7.781331e-012	-7.811446e-012	-7.907057e-012
5.000000000000000e-002	7.748124e-012	-7.783350e-012	-7.748117e-012	-7.804028e-012	-7.845515e-012	-7.972486e-012
6.000000000000001e-002	7.761077e-012	-7.802739e-012	-7.761070e-012	-7.830046e-012	-7.886603e-012	-8.054214e-012
7.000000000000001e-002	7.775038e-012	-7.824151e-012	-7.775033e-012	-7.860000e-012	-7.936386e-012	-8.156413e-012
8.000000000000000e-002	7.790087e-012	-7.847855e-012	-7.790081e-012	-7.894704e-012	-7.997007e-012	-8.284354e-012
9.000000000000000e-002	7.806336e-012	-7.874221e-012	-7.806329e-012	-7.935202e-012	-8.071158e-012	-8.444678e-012
9.999999999999999e-002	7.823938e-012	-7.903726e-012	-7.823932e-012	-7.982824e-012	-8.162286e-012	-8.645804e-012
1.100000000000000e-001	7.843096e-012	-7.937004e-012	-7.843092e-012	-8.039296e-012	-8.274749e-012	-8.898360e-012
1.200000000000000e-001	7.864084e-012	-7.974872e-012	-7.864081e-012	-8.106807e-012	-8.414084e-012	-9.215829e-012
1.300000000000000e-001	7.887264e-012	-8.018398e-012	-7.887263e-012	-8.188185e-012	-8.587308e-012	-9.615276e-012
1.400000000000000e-001	7.913111e-012	-8.068960e-012	-7.913117e-012	-8.287023e-012	-8.803330e-012	-1.011836e-011
1.500000000000000e-001	7.942248e-012	-8.128338e-012	-7.942257e-012	-8.407897e-012	-9.073456e-012	-1.075257e-011
1.600000000000000e-001	7.975482e-012	-8.198816e-012	-7.975499e-012	-8.556657e-012	-9.412026e-012	-1.155284e-011
1.700000000000000e-001	8.013858e-012	-8.283318e-012	-8.013880e-012	-8.740717e-012	-9.837261e-012	-1.256358e-011
1.800000000000000e-001	8.058722e-012	-8.385602e-012	-8.058751e-012	-8.969527e-012	-1.037230e-011	-1.384127e-011
1.900000000000000e-001	8.111806e-012	-8.510447e-012	-8.111842e-012	-9.255084e-012	-1.104656e-011	-1.545787e-011
2.000000000000000e-001	8.175327e-012	-8.663951e-012	-8.175373e-012	-9.612627e-012	-1.189746e-011	-1.750506e-011
2.100000000000001e-001	8.252119e-012	-8.853884e-012	-8.252172e-012	-1.006156e-011	-1.297261e-011	-2.009975e-011
2.200000000000001e-001	8.345797e-012	-9.090118e-012	-8.345867e-012	-1.062652e-011	-1.433267e-011	-2.339115e-011
2.300000000000001e-001	8.460966e-012	-9.385226e-012	-8.461043e-012	-1.133888e-011	-1.605495e-011	-2.756979e-011
2.400000000000001e-001	8.603478e-012	-9.755183e-012	-8.603571e-012	-1.223854e-011	-1.823803e-011	-3.287918e-011
