v2	Ix(U1:DRAIN)	Ix(U5:VDD)	Ix(U6:VDD)	Ix(U7:VDD)	Ix(U8:VDD)	Ix(U9:VDD)
0.000000000000000e+000	7.649143e-012	-7.650197e-012	-7.649144e-012	-7.650315e-012	-7.650431e-012	-7.651431e-012
1.000000000000000e-002	7.651844e-012	-7.653299e-012	-7.651844e-012	-7.653488e-012	-7.653678e-012	-7.655144e-012
2.000000000000000e-002	7.655022e-012	-7.657000e-012	-7.655022e-012	-7.657298e-012	-7.657622e-012	-7.659759e-012
3.000000000000000e-002	7.658733e-012	-7.661395e-012	-7.658732e-012	-7.661863e-012	-7.662397e-012	-7.665498e-012
4.000000000000000e-002	7.663040e-012	-7.666577e-012	-7.663039e-012	-7.667297e-012	-7.668161e-012	-7.672636e-012
5.000000000000000e-002	7.668003e-012	-7.672642e-012	-7.668002e-012	-7.673731e-012	-7.675115e-012	-7.681528e-012
6.000000000000001e-002	7.673681e-012	-7.679688e-012	-7.673680e-012	-7.681307e-012	-7.683486e-012	-7.692619e-012
7.000000000000001e-002	7.680128e-012	-7.687804e-012	-7.680126e-012	-7.690184e-012	-7.693546e-012	-7.706457e-012
8.000000000000000e-002	7.687397e-012	-7.697100e-012	-7.687394e-012	-7.700526e-012	-7.705638e-012	-7.723753e-012
9.000000000000000e-002	7.695534e-012	-7.707664e-012	-7.695529e-012	-7.712534e-012	-7.720163e-012	-7.745381e-012
9.999999999999999e-002	7.704588e-012	-7.719607e-012	-7.704587e-012	-7.726437e-012	-7.737633e-012	-7.772461e-012
1.100000000000000e-001	7.714604e-012	-7.733036e-012	-7.714600e-012	-7.742502e-012	-7.758677e-012	-7.806380e-012
1.200000000000000e-001	7.725636e-012	-7.748091e-012	-7.725634e-012	-7.761077e-012	-7.784101e-012	-7.848919e-012
1.300000000000000e-001	7.737746e-012	-7.764939e-012	-7.737740e-012	-7.782592e-012	-7.814913e-012	-7.902319e-012
1.400000000000000e-001	7.751016e-012	-7.783801e-012	-7.751011e-012	-7.807589e-012	-7.852413e-012	-7.969397e-012
1.500000000000000e-001	7.765556e-012	-7.804958e-012	-7.765552e-012	-7.836796e-012	-7.898246e-012	-8.053739e-012
1.600000000000000e-001	7.781512e-012	-7.828792e-012	-7.781504e-012	-7.871127e-012	-7.954519e-012	-8.159881e-012
1.700000000000000e-001	7.799088e-012	-7.855808e-012	-7.799083e-012	-7.911783e-012	-8.023913e-012	-8.293559e-012
1.800000000000000e-001	7.818557e-012	-7.886658e-012	-7.818553e-012	-7.960311e-012	-8.109855e-012	-8.462051e-012
1.900000000000000e-001	7.840286e-012	-7.922221e-012	-7.840283e-012	-8.018713e-012	-8.216713e-012	-8.674611e-012
2.000000000000000e-001	7.864768e-012	-7.963646e-012	-7.864767e-012	-8.089573e-012	-8.350054e-012	-8.942967e-012
2.100000000000001e-001	7.892653e-012	-8.012413e-012	-7.892658e-012	-8.176188e-012	-8.516964e-012	-9.282036e-012
2.200000000000001e-001	7.924799e-012	-8.070472e-012	-7.924809e-012	-8.282820e-012	-8.726484e-012	-9.710775e-012
2.300000000000001e-001	7.962330e-012	-8.140326e-012	-7.962347e-012	-8.414904e-012	-8.990113e-012	-1.025331e-011
2.400000000000001e-001	8.006711e-012	-8.225225e-012	-8.006732e-012	-8.579397e-012	-9.322516e-012	-1.094037e-011
2.500000000000001e-001	8.059844e-012	-8.329327e-012	-8.059876e-012	-8.785188e-012	-9.742381e-012	-1.181107e-011
2.600000000000001e-001	8.124186e-012	-8.457982e-012	-8.124225e-012	-9.043622e-012	-1.027351e-011	-1.291531e-011
2.700000000000001e-001	8.202905e-012	-8.618047e-012	-8.202957e-012	-9.369192e-012	-1.094627e-011	-1.431671e-011
2.800000000000001e-001	8.300072e-012	-8.818295e-012	-8.300133e-012	-9.780374e-012	-1.179943e-011	-1.609649e-011
2.900000000000001e-001	8.420903e-012	-9.069932e-012	-8.420972e-012	-1.030077e-011	-1.288246e-011	-1.835837e-011
3.000000000000001e-001	8.572074e-012	-9.387275e-012	-8.572159e-012	-1.096051e-011	-1.425853e-011	-2.123487e-011
3.100000000000001e-001	8.762119e-012	-9.788615e-012	-8.762218e-012	-1.179807e-011	-1.600838e-011	-2.489540e-011
3.200000000000001e-001	9.001937e-012	-1.029731e-011	-9.002050e-012	-1.286263e-011	-1.823527e-011	-2.955669e-011
3.300000000000001e-001	9.305451e-012	-1.094321e-011	-9.305582e-012	-1.421708e-011	-2.107125e-011	-3.549605e-011
3.400000000000001e-001	9.690446e-012	-1.176447e-011	-9.690593e-012	-1.594183e-011	-2.468533e-011	-4.306857e-011
3.500000000000001e-001	1.017965e-011	-1.280990e-011	-1.017981e-011	-1.813983e-011	-2.929395e-011	-5.272903e-011
3.600000000000002e-001	1.080211e-011	-1.414192e-011	-1.080229e-011	-2.094286e-011	-3.517430e-011	-6.506015e-011
3.700000000000002e-001	1.159500e-011	-1.584046e-011	-1.159520e-011	-2.451972e-011	-4.268157e-011	-8.080883e-011
3.800000000000002e-001	1.260585e-011	-1.800789e-011	-1.260606e-011	-2.908669e-011	-5.227100e-011	-1.009326e-010
3.900000000000002e-001	1.389554e-011	-2.077527e-011	-1.389576e-011	-3.492088e-011	-6.452615e-011	-1.266590e-010
4.000000000000002e-001	1.554199e-011	-2.431055e-011	-1.554221e-011	-4.237746e-011	-8.019508e-011	-1.595623e-010
4.100000000000002e-001	1.764493e-011	-2.882886e-011	-1.764516e-011	-5.191156e-011	-1.002367e-010	-2.016603e-010
4.200000000000002e-001	2.033207e-011	-3.460570e-011	-2.033229e-011	-6.410630e-011	-1.258799e-010	-2.555391e-010
4.300000000000002e-001	2.376678e-011	-4.199380e-011	-2.376699e-011	-7.970841e-011	-1.586985e-010	-3.245108e-010
4.400000000000002e-001	2.815798e-011	-5.144438e-011	-2.815817e-011	-9.967348e-011	-2.007068e-010	-4.128136e-010
4.500000000000002e-001	3.377254e-011	-6.353413e-011	-3.377267e-011	-1.252230e-010	-2.544799e-010	-5.258637e-010
4.600000000000002e-001	4.095086e-011	-7.899889e-011	-4.095090e-011	-1.579160e-010	-3.233039e-010	-6.705703e-010
4.700000000000003e-001	5.012625e-011	-9.877579e-011	-5.012614e-011	-1.997382e-010	-4.113640e-010	-8.557253e-010
4.800000000000003e-001	6.184888e-011	-1.240550e-010	-6.184851e-011	-2.532116e-010	-5.239736e-010	-1.092481e-009
4.900000000000003e-001	7.681475e-011	-1.563428e-010	-7.681396e-011	-3.215277e-010	-6.678537e-010	-1.394924e-009
5.000000000000002e-001	9.590045e-011	-1.975364e-010	-9.589898e-011	-4.087064e-010	-8.514628e-010	-1.780752e-009
5.100000000000002e-001	1.202036e-010	-2.500121e-010	-1.202011e-010	-5.197803e-010	-1.085380e-009	-2.272050e-009
5.200000000000002e-001	1.510888e-010	-3.167239e-010	-1.510845e-010	-6.610026e-010	-1.382731e-009	-2.896142e-009
5.300000000000003e-001	1.902371e-010	-4.013108e-010	-1.902301e-010	-8.400709e-010	-1.759644e-009	-3.686486e-009
5.400000000000003e-001	2.396973e-010	-5.082064e-010	-2.396861e-010	-1.066353e-009	-2.235699e-009	-4.683539e-009
5.500000000000003e-001	3.019338e-010	-6.427405e-010	-3.019162e-010	-1.351093e-009	-2.834329e-009	-5.935490e-009
5.600000000000003e-001	3.798657e-010	-8.112220e-010	-3.798388e-010	-1.707576e-009	-3.583113e-009	-7.498757e-009
5.700000000000003e-001	4.768918e-010	-1.020986e-009	-4.768512e-010	-2.151205e-009	-4.513892e-009	-9.438108e-009
5.800000000000003e-001	5.968918e-010	-1.280393e-009	-5.968321e-010	-2.699481e-009	-5.662644e-009	-1.182631e-008
5.900000000000003e-001	7.442029e-010	-1.598766e-009	-7.441176e-010	-3.371839e-009	-7.069092e-009	-1.474325e-008
6.000000000000003e-001	9.235676e-010	-1.986270e-009	-9.234489e-010	-4.189356e-009	-8.776039e-009	-1.827455e-008
6.100000000000003e-001	1.140056e-009	-2.453727e-009	-1.139895e-009	-5.174342e-009	-1.082847e-008	-2.250983e-008
6.200000000000003e-001	1.398968e-009	-3.012394e-009	-1.398758e-009	-6.349842e-009	-1.327255e-008	-2.754071e-008
6.300000000000003e-001	1.705732e-009	-3.673725e-009	-1.705465e-009	-7.739118e-009	-1.615455e-008	-3.345882e-008
6.400000000000004e-001	2.065796e-009	-4.449126e-009	-2.065465e-009	-9.365142e-009	-1.951993e-008	-4.035400e-008
6.500000000000004e-001	2.484531e-009	-5.349743e-009	-2.484133e-009	-1.125017e-008	-2.341248e-008	-4.831278e-008
6.600000000000004e-001	2.967153e-009	-6.386284e-009	-2.966688e-009	-1.341538e-008	-2.787379e-008	-5.741721e-008
6.700000000000004e-001	3.518660e-009	-7.568881e-009	-3.518128e-009	-1.588068e-008	-3.294275e-008	-6.774412e-008
6.800000000000004e-001	4.143780e-009	-8.907005e-009	-4.143184e-009	-1.866451e-008	-3.865544e-008	-7.936460e-008
6.900000000000004e-001	4.846950e-009	-1.040941e-008	-4.846294e-009	-2.178384e-008	-4.504496e-008	-9.234393e-008
7.000000000000004e-001	5.632295e-009	-1.208414e-008	-5.631585e-009	-2.525413e-008	-5.214153e-008	-1.067415e-007
7.100000000000004e-001	6.503624e-009	-1.393850e-008	-6.502866e-009	-2.908943e-008	-5.997258e-008	-1.226113e-007
7.200000000000004e-001	7.464440e-009	-1.597913e-008	-7.463640e-009	-3.330243e-008	-6.856287e-008	-1.400016e-007
7.300000000000004e-001	8.517942e-009	-1.821201e-008	-8.517107e-009	-3.790458e-008	-7.793475e-008	-1.589561e-007
7.400000000000004e-001	9.667049e-009	-2.064254e-008	-9.666184e-009	-4.290618e-008	-8.810829e-008	-1.795137e-007
7.500000000000004e-001	1.091441e-008	-2.327556e-008	-1.091352e-008	-4.831646e-008	-9.910149e-008	-2.017090e-007
7.600000000000005e-001	1.226243e-008	-2.611542e-008	-1.226152e-008	-5.414375e-008	-1.109305e-007	-2.255729e-007
7.700000000000005e-001	1.371327e-008	-2.916604e-008	-1.371235e-008	-6.039549e-008	-1.236096e-007	-2.511327e-007
7.800000000000005e-001	1.526892e-008	-3.243093e-008	-1.526798e-008	-6.707837e-008	-1.371518e-007	-2.784126e-007
7.900000000000005e-001	1.693112e-008	-3.591322e-008	-1.693017e-008	-7.419836e-008	-1.515685e-007	-3.074339e-007
8.000000000000005e-001	1.870148e-008	-3.961575e-008	-1.870053e-008	-8.176083e-008	-1.668698e-007	-3.382150e-007
8.100000000000005e-001	2.058145e-008	-4.354104e-008	-2.058050e-008	-8.977057e-008	-1.830647e-007	-3.707724e-007
8.200000000000005e-001	2.257232e-008	-4.769137e-008	-2.257136e-008	-9.823187e-008	-2.001613e-007	-4.051202e-007
8.300000000000005e-001	2.467526e-008	-5.206878e-008	-2.467430e-008	-1.071485e-007	-2.181665e-007	-4.412705e-007
8.400000000000005e-001	2.689131e-008	-5.667510e-008	-2.689035e-008	-1.165240e-007	-2.370866e-007	-4.792338e-007
8.500000000000005e-001	2.922142e-008	-6.151197e-008	-2.922046e-008	-1.263612e-007	-2.569269e-007	-5.190190e-007
8.600000000000005e-001	3.166645e-008	-6.658085e-008	-3.166549e-008	-1.366629e-007	-2.776920e-007	-5.606333e-007
8.700000000000006e-001	3.422716e-008	-7.188304e-008	-3.422620e-008	-1.474314e-007	-2.993861e-007	-6.040830e-007
8.800000000000006e-001	3.690422e-008	-7.741972e-008	-3.690327e-008	-1.586689e-007	-3.220125e-007	-6.493727e-007
8.900000000000006e-001	3.969827e-008	-8.319192e-008	-3.969732e-008	-1.703770e-007	-3.455743e-007	-6.965063e-007
9.000000000000006e-001	4.260984e-008	-8.920057e-008	-4.260889e-008	-1.825574e-007	-3.700737e-007	-7.454865e-007
9.100000000000006e-001	4.563943e-008	-9.544646e-008	-4.563848e-008	-1.952115e-007	-3.955128e-007	-7.963151e-007
9.200000000000006e-001	4.878748e-008	-1.019303e-007	-4.878654e-008	-2.083403e-007	-4.218931e-007	-8.489932e-007
9.300000000000006e-001	5.205438e-008	-1.086528e-007	-5.205344e-008	-2.219449e-007	-4.492158e-007	-9.035210e-007
9.400000000000006e-001	5.544048e-008	-1.156143e-007	-5.543954e-008	-2.360260e-007	-4.774818e-007	-9.598979e-007
9.500000000000006e-001	5.894608e-008	-1.228155e-007	-5.894514e-008	-2.505843e-007	-5.066915e-007	-1.018123e-006
9.600000000000006e-001	6.257145e-008	-1.302566e-007	-6.257051e-008	-2.656204e-007	-5.368452e-007	-1.078194e-006
9.700000000000006e-001	6.631683e-008	-1.379380e-007	-6.631588e-008	-2.811344e-007	-5.679428e-007	-1.140110e-006
9.800000000000007e-001	7.018242e-008	-1.458600e-007	-7.018147e-008	-2.971268e-007	-5.999840e-007	-1.203867e-006
9.900000000000007e-001	7.416838e-008	-1.540227e-007	-7.416745e-008	-3.135976e-007	-6.329683e-007	-1.269462e-006
1.000000000000001e+000	7.827489e-008	-1.624264e-007	-7.827395e-008	-3.305469e-007	-6.668949e-007	-1.336891e-006
1.010000000000001e+000	8.250205e-008	-1.710711e-007	-8.250111e-008	-3.479745e-007	-7.017630e-007	-1.406152e-006
1.020000000000001e+000	8.684997e-008	-1.799569e-007	-8.684903e-008	-3.658803e-007	-7.375713e-007	-1.477238e-006
1.030000000000001e+000	9.131874e-008	-1.890839e-007	-9.131779e-008	-3.842641e-007	-7.743186e-007	-1.550146e-006
1.040000000000001e+000	9.590840e-008	-1.984520e-007	-9.590746e-008	-4.031256e-007	-8.120034e-007	-1.624871e-006
1.050000000000001e+000	1.006190e-007	-2.080612e-007	-1.006181e-007	-4.224643e-007	-8.506242e-007	-1.701407e-006
1.060000000000001e+000	1.054506e-007	-2.179113e-007	-1.054497e-007	-4.422798e-007	-8.901791e-007	-1.779749e-006
1.070000000000001e+000	1.104032e-007	-2.280024e-007	-1.104022e-007	-4.625715e-007	-9.306664e-007	-1.859891e-006
